Date,EPV
20160114:2156,0
20160114:2256,0
20160114:2356,0
20160115:0056,0
20160115:0156,0
20160115:0256,0
20160115:0356,0
20160115:0456,0
20160115:0556,0
20160115:0656,0
20160115:0756,0
20160115:0856,182.59
20160115:0956,418.05
20160115:1056,543.38
20160115:1156,587.91
20160115:1256,553.16
20160115:1356,442.04
20160115:1456,263.31
20160115:1556,36.51
20160115:1656,0
20160115:1756,0
20160115:1856,0
20160115:1956,0
20160115:2056,0
20160115:2156,0
20160115:2256,0
20160115:2356,0
20160116:0056,0
20160116:0156,0
20160116:0256,0
20160116:0356,0
20160116:0456,0
20160116:0556,0
20160116:0656,0
20160116:0756,0
20160116:0856,181.38
20160116:0956,411.79
20160116:1056,441.19
20160116:1156,131.52
20160116:1256,445.73
20160116:1356,154.47
20160116:1456,27.7
20160116:1556,37.41
20160116:1656,0
20160116:1756,0
20160116:1856,0
20160116:1956,0
20160116:2056,0
20160116:2156,0
20160116:2256,0
20160116:2356,0
20160117:0056,0
20160117:0156,0
20160117:0256,0
20160117:0356,0
20160117:0456,0
20160117:0556,0
20160117:0656,0
20160117:0756,0
20160117:0856,122.91
20160117:0956,45.11
20160117:1056,60.44
20160117:1156,68.35
20160117:1256,70.26
20160117:1356,146.42
20160117:1456,36.68
20160117:1556,53.05
20160117:1656,0
20160117:1756,0
20160117:1856,0
20160117:1956,0
20160117:2056,0
20160117:2156,0
20160117:2256,0
20160117:2356,0
20160118:0056,0
20160118:0156,0
20160118:0256,0
20160118:0356,0
20160118:0456,0
20160118:0556,0
20160118:0656,0
20160118:0756,0
20160118:0856,91.66
20160118:0956,87.5
20160118:1056,55.91
20160118:1156,19.64
20160118:1256,46.86
20160118:1356,48.88
20160118:1456,67.76
20160118:1556,31.2
20160118:1656,0
20160118:1756,0
20160118:1856,0
20160118:1956,0
20160118:2056,0
20160118:2156,0
20160118:2256,0
20160118:2356,0
20160119:0056,0
20160119:0156,0
20160119:0256,0
20160119:0356,0
20160119:0456,0
20160119:0556,0
20160119:0656,0
20160119:0756,0
20160119:0856,199.91
20160119:0956,415.98
20160119:1056,533.39
20160119:1156,572.07
20160119:1256,539.8
20160119:1356,441.08
20160119:1456,276.53
20160119:1556,54.77
20160119:1656,0
20160119:1756,0
20160119:1856,0
20160119:1956,0
20160119:2056,0
20160119:2156,0
20160119:2256,0
20160119:2356,0
20160120:0056,0
20160120:0156,0
20160120:0256,0
20160120:0356,0
20160120:0456,0
20160120:0556,0
20160120:0656,0
20160120:0756,0
20160120:0856,206.32
20160120:0956,424.43
20160120:1056,537.9
20160120:1156,576.7
20160120:1256,543.15
20160120:1356,448.74
20160120:1456,283.02
20160120:1556,60.18
20160120:1656,0
20160120:1756,0
20160120:1856,0
20160120:1956,0
20160120:2056,0
20160120:2156,0
20160120:2256,0
20160120:2356,0
20160121:0056,0
20160121:0156,0
20160121:0256,0
20160121:0356,0
20160121:0456,0
20160121:0556,0
20160121:0656,0
20160121:0756,0
20160121:0856,186.52
20160121:0956,13.43
20160121:1056,39.67
20160121:1156,175.16
20160121:1256,470.49
20160121:1356,291.82
20160121:1456,55.01
20160121:1556,11.92
20160121:1656,0
20160121:1756,0
20160121:1856,0
20160121:1956,0
20160121:2056,0
20160121:2156,0
20160121:2256,0
20160121:2356,0
20160122:0056,0
20160122:0156,0
20160122:0256,0
20160122:0356,0
20160122:0456,0
20160122:0556,0
20160122:0656,0
20160122:0756,0
20160122:0856,9.8
20160122:0956,0.12
20160122:1056,3.31
20160122:1156,3.77
20160122:1256,29.71
20160122:1356,83.38
20160122:1456,281.14
20160122:1556,64.95
20160122:1656,0
20160122:1756,0
20160122:1856,0
20160122:1956,0
20160122:2056,0
20160122:2156,0
20160122:2256,0
20160122:2356,0
20160123:0056,0
20160123:0156,0
20160123:0256,0
20160123:0356,0
20160123:0456,0
20160123:0556,0
20160123:0656,0
20160123:0756,0
20160123:0856,66.25
20160123:0956,281.64
20160123:1056,535.72
20160123:1156,117.01
20160123:1256,135.25
20160123:1356,122.97
20160123:1456,31.2
20160123:1556,125.77
20160123:1656,0
20160123:1756,0
20160123:1856,0
20160123:1956,0
20160123:2056,0
20160123:2156,0
20160123:2256,0
20160123:2356,0
20160124:0056,0
20160124:0156,0
20160124:0256,0
20160124:0356,0
20160124:0456,0
20160124:0556,0
20160124:0656,0
20160124:0756,0
20160124:0856,32.29
20160124:0956,30.53
20160124:1056,1.49
20160124:1156,155.04
20160124:1256,99.89
20160124:1356,62.36
20160124:1456,31.02
20160124:1556,16.21
20160124:1656,0
20160124:1756,0
20160124:1856,0
20160124:1956,0
20160124:2056,0
20160124:2156,0
20160124:2256,0
20160124:2356,0
20160125:0056,0
20160125:0156,0
20160125:0256,0
20160125:0356,0
20160125:0456,0
20160125:0556,0
20160125:0656,0
20160125:0756,0
20160125:0856,5.86
20160125:0956,50.93
20160125:1056,266.05
20160125:1156,267.26
20160125:1256,26.1
20160125:1356,48.14
20160125:1456,280.93
20160125:1556,30
20160125:1656,0
20160125:1756,0
20160125:1856,0
20160125:1956,0
20160125:2056,0
20160125:2156,0
20160125:2256,0
20160125:2356,0
20160126:0056,0
20160126:0156,0
20160126:0256,0
20160126:0356,0
20160126:0456,0
20160126:0556,0
20160126:0656,0
20160126:0756,0
20160126:0856,13.36
20160126:0956,31.83
20160126:1056,1.67
20160126:1156,2.5
20160126:1256,2.34
20160126:1356,1.29
20160126:1456,14.02
20160126:1556,0
20160126:1656,0
20160126:1756,0
20160126:1856,0
20160126:1956,0
20160126:2056,0
20160126:2156,0
20160126:2256,0
20160126:2356,0
20160127:0056,0
20160127:0156,0
20160127:0256,0
20160127:0356,0
20160127:0456,0
20160127:0556,0
20160127:0656,0
20160127:0756,0
20160127:0856,202.87
20160127:0956,0.37
20160127:1056,40.17
20160127:1156,26.98
20160127:1256,13.75
20160127:1356,31.54
20160127:1456,31.29
20160127:1556,23.68
20160127:1656,0
20160127:1756,0
20160127:1856,0
20160127:1956,0
20160127:2056,0
20160127:2156,0
20160127:2256,0
20160127:2356,0
20160128:0056,0
20160128:0156,0
20160128:0256,0
20160128:0356,0
20160128:0456,0
20160128:0556,0
20160128:0656,0
20160128:0756,0
20160128:0856,245.25
20160128:0956,457.29
20160128:1056,570.17
20160128:1156,612.73
20160128:1256,581.11
20160128:1356,475.54
20160128:1456,0.11
20160128:1556,27.37
20160128:1656,0
20160128:1756,0
20160128:1856,0
20160128:1956,0
20160128:2056,0
20160128:2156,0
20160128:2256,0
20160128:2356,0
20160129:0056,0
20160129:0156,0
20160129:0256,0
20160129:0356,0
20160129:0456,0
20160129:0556,0
20160129:0656,0
20160129:0756,0
20160129:0856,0
20160129:0956,133.98
20160129:1056,217.85
20160129:1156,182.03
20160129:1256,72.94
20160129:1356,24.5
20160129:1456,21.97
20160129:1556,3.65
20160129:1656,0
20160129:1756,0
20160129:1856,0
20160129:1956,0
20160129:2056,0
20160129:2156,0
20160129:2256,0
20160129:2356,0
20160130:0056,0
20160130:0156,0
20160130:0256,0
20160130:0356,0
20160130:0456,0
20160130:0556,0
20160130:0656,0
20160130:0756,0
20160130:0856,12.31
20160130:0956,83.97
20160130:1056,477.13
20160130:1156,643.72
20160130:1256,614.75
20160130:1356,513.67
20160130:1456,344.43
20160130:1556,125.95
20160130:1656,0
20160130:1756,0
20160130:1856,0
20160130:1956,0
20160130:2056,0
20160130:2156,0
20160130:2256,0
20160130:2356,0
20160131:0056,0
20160131:0156,0
20160131:0256,0
20160131:0356,0
20160131:0456,0
20160131:0556,0
20160131:0656,0
20160131:0756,0
20160131:0856,14.02
20160131:0956,22.39
20160131:1056,24.5
20160131:1156,69.91
20160131:1256,155.53
20160131:1356,5.26
20160131:1456,0.23
20160131:1556,5.67
20160131:1656,0
20160131:1756,0
20160131:1856,0
20160131:1956,0
20160131:2056,0
20160131:2156,0
20160131:2256,0
20160131:2356,0
20160201:0056,0
20160201:0156,0
20160201:0256,0
20160201:0356,0
20160201:0456,0
20160201:0556,0
20160201:0656,0
20160201:0756,0
20160201:0856,152.73
20160201:0956,157.73
20160201:1056,32.37
20160201:1156,177.7
20160201:1256,57.45
20160201:1356,104.49
20160201:1456,133.8
20160201:1556,9.23
20160201:1656,0
20160201:1756,0
20160201:1856,0
20160201:1956,0
20160201:2056,0
20160201:2156,0
20160201:2256,0
20160201:2356,0
20160202:0056,0
20160202:0156,0
20160202:0256,0
20160202:0356,0
20160202:0456,0
20160202:0556,0
20160202:0656,0
20160202:0756,0
20160202:0856,74.21
20160202:0956,472.23
20160202:1056,608.11
20160202:1156,654.11
20160202:1256,505.76
20160202:1356,276.81
20160202:1456,31.45
20160202:1556,144.13
20160202:1656,0
20160202:1756,0
20160202:1856,0
20160202:1956,0
20160202:2056,0
20160202:2156,0
20160202:2256,0
20160202:2356,0
20160203:0056,0
20160203:0156,0
20160203:0256,0
20160203:0356,0
20160203:0456,0
20160203:0556,0
