kW,
0.33,
0.28,
0.25,
0.23,
0.22,
0.21,
0.21,
0.2,
0.2,
0.21,
0.22,
0.24,
0.31,
0.39,
0.52,
0.63,
0.62,
0.57,
0.52,
0.5,
0.49,
0.48,
0.47,
0.47,
0.49,
0.49,
0.47,
0.45,
0.44,
0.46,
0.47,
0.53,
0.64,
0.78,
0.89,
0.92,
0.92,
0.91,
0.88,
0.84,
0.8,
0.78,
0.77,
0.72,
0.67,
0.59,
0.49,
0.41,
