,Power (kW)
0,0.4391855563179196
1,0.3755463955121743
2,0.323746736028727
3,0.2972910717064289
4,0.30172774054527973
5,0.3009999083841307
6,0.2859450753841307
7,0.26521724322298157
8,0.27051334622298157
9,0.2512411783841307
10,0.3219470765452797
11,0.3734027408675779
12,0.4922562969956215
13,0.5440789542848141
14,0.4845941343797522
15,0.6026002881523921
16,0.5918924749912429
17,0.5382533141854975
18,0.48487439637975216
19,0.463418732057454
20,0.45277097489630486
21,0.4420431427351558
22,0.43132531957400666
23,0.43132531957400666
24,0.45283103089630483
25,0.45283103089630483
26,0.43137536657400666
27,0.4099197022517086
28,0.3992118890905595
29,0.4206675534128577
30,0.4312952915740067
31,0.49566228454090133
32,0.3938830583135411
33,0.5440727085696283
34,0.710410694342268
35,0.6725941908257154
36,0.6659711078257153
37,0.6652432756645663
38,0.6424285801811191
39,0.5945172515365229
40,0.6057943818919265
41,0.5893387175696283
42,0.5677091724084792
43,0.4890700116027337
44,0.47115222079698843
45,0.5691265055077958
46,0.47825193089630486
47,0.4274292736071123
48,0.5035525492848142
49,0.4184577241567705
50,0.35593023251217426
51,0.318746736028727
52,0.3124555727064289
53,0.31172774054527974
54,0.2859450753841307
55,0.2759450753841307
56,0.2812411783841307
57,0.2512411783841307
58,0.3219470765452797
59,0.3626749087064289
60,0.44934496835102516
61,0.4689841291567705
62,0.34513231628481417
63,0.4202271414128577
64,0.47388632121860313
65,0.5275254820243485
66,0.5385135571854975
67,0.5385135571854975
68,0.5385936321854976
69,0.5385936321854976
70,0.5278758090243485
71,0.5278758090243485
72,0.5601093525077957
73,0.5601093525077957
74,0.5493815203466466
75,0.5064701917020503
76,0.4850345463797522
77,0.4957623785409013
78,0.49566228454090133
79,0.5278457810243485
80,0.38315522615239206
81,0.4904335477638828
82,0.6460437013753736
83,0.640410694342268
84,0.633787611342268
85,0.6545154435034173
86,0.653156412342268
87,0.5945172515365229
88,0.6057943818919265
89,0.5464273889250318
90,0.5247978437638828
91,0.4568865151192865
92,0.4389687243135411
93,0.5691265055077958
94,0.5104354273797522
95,0.48106843441285774
96,0.5250082136071123
97,0.4399133884790687
98,0.3773858968344724
99,0.34020240035102517
100,0.333911237028727
101,0.3224555727064289
102,0.29667290754527975
103,0.2759450753841307
104,0.2812411783841307
105,0.2512411783841307
106,0.3112192443841307
107,0.35194707654527974
108,0.4171614718675779
109,0.4153449683510252
110,0.25930965899562153
111,0.3344044841236651
