kW,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0.007,
0.007,
0.145,
0.145,
0.281,
0.281,
0.157,
0.157,
0.113,
0.113,
0.128,
0.128,
0.098,
0.098,
0.012,
0.012,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0, 
0,
