,Power (kW)
215,9.374619894484246
216,9.25565263694003
217,8.922544315816223
218,8.494262188657045
219,8.422881834130514
220,8.422881834130514
221,8.375294931112828
222,8.232534222059769
223,8.042186609989022
224,7.80425209490059
225,7.399763419250254
226,6.424231907387681
227,4.972831365348242
228,3.925919498959138
229,3.5214308233088025
230,3.3310832112380564
231,3.1169421476584676
232,2.9503879870965646
233,2.736246923516975
234,2.522105859937386
235,2.3317582478666394
236,2.165204087304737
237,2.093823732778207
238,1.9748564752339905
239,1.8558892176897746
240,1.6893350571278716
241,1.8320957661809312
242,1.8558892176897746
243,1.808302314672088
244,1.7845088631632446
245,1.7845088631632446
246,1.7845088631632446
247,1.7607154116544013
248,1.808302314672088
249,1.808302314672088
250,1.808302314672088
251,1.8558892176897746
252,1.9510630237251474
253,2.070030281269364
254,2.3317582478666394
255,2.6886600204992885
256,3.259702856711527
257,4.068680208012197
258,5.424906944016263
259,6.019743231737345
260,6.162503940790405
261,6.210090843808091
262,6.233884295316935
263,6.186297392299248
264,5.734221813631226
265,5.377320040998577
266,4.972831365348242
267,4.7824837532774955
268,4.639723044224436
269,4.568342689697906
270,4.496962335171376
271,4.425581980644847
272,4.2828212715917875
273,4.092473659521041
274,3.7593653383972354
275,3.093148696149624
276,2.8552141810611915
277,2.736246923516975
278,2.6410731174816022
279,2.4983124084285424
280,2.4031386023931693
281,2.355551699375483
282,2.3079647963577963
283,2.2365844418312664
284,2.11761718428705
285,2.0462368297605207
286,1.9510630237251474
287,1.9510630237251474
288,1.736921960145558
289,1.8796826691986177
290,1.8796826691986177
291,1.808302314672088
292,1.7607154116544013
293,1.736921960145558
294,1.736921960145558
295,1.7131285086367147
296,1.7131285086367147
297,1.6893350571278716
298,1.6655416056190282
299,1.6893350571278716
300,1.7607154116544013
301,1.808302314672088
302,1.8796826691986177
303,1.9272695722163042
304,1.998649926742834
305,2.11761718428705
306,2.26037789334011
307,2.522105859937386
308,2.6886600204992885
309,2.760040375025818
310,2.831420729552348
311,2.831420729552348
312,2.7124534720081317
313,2.6886600204992885
314,2.5696927629550723
315,2.5696927629550723
316,2.5696927629550723
317,2.545899311446229
318,2.522105859937386
319,2.4745189569196993
320,2.522105859937386
321,2.4983124084285424
322,2.379345150884326
323,2.4745189569196993
324,2.522105859937386
325,2.545899311446229
326,2.522105859937386
327,2.379345150884326
328,2.284171344848953
329,2.2127909903224237
330,2.1414106357958937
331,2.070030281269364
332,1.9510630237251474
333,1.903476120707461
334,1.808302314672088
335,1.7131285086367147
336,1.6655416056190282
337,1.8320957661809312
338,1.8558892176897746
339,1.808302314672088
340,1.808302314672088
341,1.7845088631632446
342,1.7845088631632446
343,1.7845088631632446
344,1.8320957661809312
345,1.8796826691986177
346,1.903476120707461
347,2.070030281269364
348,2.3079647963577963
349,2.7838338265346616
350,3.378670114255743
351,4.259027820082944
352,5.520080750051636
353,6.852514034546859
354,8.375294931112828
355,9.017718121851596
356,9.184272282413499
357,9.279446088448871
358,9.327032991466558
359,9.374619894484246
360,9.25565263694003
361,8.922544315816223
362,8.494262188657045
363,8.422881834130514
364,8.422881834130514
365,8.375294931112828
366,8.232534222059769
367,8.042186609989022
368,7.80425209490059
369,7.399763419250254
370,6.424231907387681
371,4.972831365348242
372,3.925919498959138
373,3.5214308233088025
374,3.3310832112380564
375,3.1169421476584676
376,2.9503879870965646
377,2.736246923516975
378,2.522105859937386
379,2.3317582478666394
380,2.165204087304737
381,2.093823732778207
382,1.9748564752339905
383,1.8558892176897746
384,1.6655416056190282
385,1.8320957661809312
386,1.8558892176897746
387,1.808302314672088
388,1.808302314672088
389,1.7845088631632446
390,1.7845088631632446
391,1.7845088631632446
392,1.8320957661809312
393,1.8796826691986177
394,1.903476120707461
395,2.070030281269364
396,2.3079647963577963
397,2.7838338265346616
398,3.378670114255743
399,4.259027820082944
400,5.520080750051636
401,6.852514034546859
402,8.375294931112828
403,9.017718121851596
404,9.184272282413499
405,9.279446088448871
406,9.327032991466558
407,9.374619894484246
408,9.25565263694003
409,8.922544315816223
